Country,Demonym,Sentiment,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,Happy,Angry,Surprise,Sad,Fear,F_Score,,,,,,,,,,
Poland,Pole or Polish,0.359889,0.017101153,3.06E-05,0.000335768,0.003521489,0.005278329,0.00215368,0.000187545,0.1644,0.0487,0.171,0.2425,0.394,0.992285675,,,,,,,,,,
Portugal,Portuguese,0.544221,0.010750586,8.16E-06,0.006084424,0.001167318,0.002925023,0.000157507,0.000476603,0.1624,0.0555,0.16,0.2285,0.4407,0.973237565,,,,,,,,,,
Qatar,Qatari,0.110666,0.015887709,8.34E-06,8.17E-05,0.002509897,0.008101876,0.000199179,6.29E-05,0.1101,0.0521,0.1183,0.2579,0.4364,0.98083444,,,,,,,,,,
Republic of the Congo,Congolese (Republic),-0.049817,0.018798274,1.74E-05,0.006825082,0.001339463,0.004920312,0.000301108,0.003081048,0.0922,0.0523,0.1412,0.259,0.4555,0.970988725,,,,,,,,,,
Romania,Romanian,0.429489,0.019855914,4.08E-05,0.000202259,0.002592956,0.012348776,0.000125874,0.000292743,0.1673,0.0458,0.13,0.2193,0.4165,0.974067301,,,,,,,,,,
Russia,Russian,0.101337,0.030350292,3.40E-06,0.004373249,0.002418005,0.013120341,0.000736859,6.59E-05,0.1345,0.0569,0.1337,0.2589,0.4633,0.982819369,,,,,,,,,,
Rwanda,Rwandan,-0.228231,0.014357632,1.51E-05,0.000302303,0.001712841,0.003362386,0.000578526,0.001832364,0.1035,0.0526,0.1271,0.2526,0.319,0.998031943,,,,,,,,,,
Saint Kitts and Nevis,Kittian and Nevisian,0.51616,0.012040121,3.40E-05,0.000730294,0.004253579,0.004296249,0.000182643,0.000111402,0.1691,0.0527,0.1533,0.2083,0.3969,0.960434858,,,,,,,,,,
Saint Lucia,Saint Lucian,0.509853,0.014545949,5.17E-05,0.000280149,0.002683594,0.006962719,0.000290028,0.00044627,0.1446,0.062,0.2431,0.2302,0.3577,0.99740271,,,,,,,,,,
Saint Vincent and the Grenadines,Saint Vincentian or Vincentian,0.473461,0.011359793,5.70E-05,0.000253373,0.002214331,0.003893356,0.000420549,0.001409828,0.1318,0.0604,0.2142,0.2259,0.3712,0.988789455,,,,,,,,,,
Samoa,Samoan,0.53686,0.010964195,1.48E-05,0.000157109,0.002524787,0.004310889,0.000167151,0.000531546,0.1363,0.0574,0.176,0.2268,0.4364,0.969814531,,,,,,,,,,
San Marino,Sammarinese or San Marinese,0.617835,0.008858524,4.28E-05,0.000161308,0.003450069,0.002758524,0.000127866,0.000214324,0.1349,0.0579,0.2126,0.1933,0.4033,0.990600007,,,,,,,,,,
São Tomé and Principe,Sao Tomean,0.252599,0.009163181,1.73E-05,0.001404312,0.001994653,0.002921238,0.000224548,0.000422124,0.1207,0.0453,0.1676,0.2293,0.4353,0.965996765,,,,,,,,,,
Saudi Arabia,Saudi or Saudi Arabian,0.04617,0.020363378,3.22E-05,0.000162753,0.005245449,0.007604725,0.00022796,0.000289964,0.1101,0.0468,0.1427,0.2656,0.4475,0.978808875,,,,,,,,,,
Senegal,Senegalese,0.317852,0.011941568,2.71E-05,0.001323277,0.001815016,0.004727659,0.000309847,0.001711095,0.133,0.044,0.1344,0.2407,0.4014,0.985620649,,,,,,,,,,
Serbia,Serbian,0.06761,0.015005082,1.03E-05,0.000181674,0.000979162,0.007121568,0.000199213,0.001421912,0.1509,0.0567,0.1352,0.2456,0.4831,0.982990583,,,,,,,,,,
Seychelles,Seychellois,0.365444,0.018283995,7.94E-06,0.000109197,0.000817432,0.006535113,0.008128199,6.48E-05,0.1319,0.048,0.1042,0.2333,0.4644,0.976576118,,,,,,,,,,
Sierra Leone,Sierra Leonean,-0.398773,0.007772511,1.04E-05,0.000189245,0.000602217,0.002392072,0.000365643,0.001030886,0.0802,0.0484,0.1497,0.2571,0.4469,0.971742998,,,,,,,,,,
Singapore,Singaporean,0.395086,0.01533731,2.65E-06,6.00E-05,0.000223035,0.013010553,6.40E-05,4.20E-05,0.1455,0.0598,0.1335,0.2045,0.4491,0.976123816,,,,,,,,,,
Slovakia,Slovak or Slovakian,0.54086,0.006074747,1.87E-05,0.000201478,0.001938013,0.002198837,0.000116096,9.80E-05,0.1523,0.0561,0.1279,0.2039,0.4249,0.980330557,,,,,,,,,,
Slovenia,Slovene or Slovenian,0.44609,0.004909524,1.42E-05,0.001376033,0.001297116,0.001051414,0.000102799,0.000114395,0.1544,0.0515,0.1575,0.1923,0.401,0.996154822,,,,,,,,,,
Solomon Islands,Solomon Islander,0.54438,0.01030169,3.78E-05,0.001405381,0.002786407,0.002842908,0.000566313,0.000570287,0.1384,0.0439,0.1892,0.2082,0.4208,0.982809612,,,,,,,,,,
Somalia,Somali,-0.338668,0.030343171,5.37E-05,0.001780571,0.011281779,0.005956414,0.00058296,0.000605573,0.0835,0.0516,0.1719,0.2638,0.4641,0.97996167,,,,,,,,,,
South Africa,South African,-0.004958,0.023459615,2.98E-05,0.001547614,0.007792363,0.005651441,0.000202895,0.000337583,0.0954,0.0617,0.1338,0.2358,0.4378,0.980986866,,,,,,,,,,
South Korea,South Korean,0.220858,0.01497984,1.08E-05,0.000112833,0.002282051,0.009180649,0.000117257,0.000605978,0.1284,0.0541,0.116,0.2628,0.4542,0.974175606,,,,,,,,,,
South Sudan,South Sudanese,-0.42484,0.016179122,8.86E-06,0.000147628,0.003088119,0.00528091,0.000347882,0.000133387,0.0766,0.062,0.1258,0.2717,0.3923,0.992190189,,,,,,,,,,
Spain,Spaniard or Spanish,0.523081,0.03308036,2.06E-05,0.000187391,0.00463494,0.021477736,0.000115929,0.000102212,0.1411,0.0632,0.1614,0.2417,0.4716,0.961555949,,,,,,,,,,
Sri Lanka,Sri Lankan,0.072163,0.00820766,1.24E-05,0.000102561,0.001888486,0.001794135,0.000469695,0.00012511,0.1185,0.044,0.1284,0.2376,0.4463,0.982607942,,,,,,,,,,
Sudan,Sudanese,-0.401166,0.019652665,2.13E-05,0.001656468,0.00442105,0.003952132,0.000345131,0.001492042,0.0851,0.052,0.1366,0.2803,0.396,0.993182299,,,,,,,,,,
Suriname,Surinamer,0.272627,0.016587343,3.39E-05,0.000233077,0.004122015,0.006623011,0.000423743,0.000465342,0.128,0.0713,0.1485,0.2572,0.3864,0.996520118,,,,,,,,,,
Swaziland,Swazi,-0.001378,0.075087704,0.000122639,0.000552711,0.031278034,0.02513063,0.001402586,0.000227333,0.1254,0.0631,0.1627,0.2617,0.4111,0.995776559,,,,,,,,,,
Sweden,Swede or Swedish,0.551709,0.025674417,7.92E-06,0.008398472,0.002401613,0.012920073,0.000319544,0.000966686,0.1712,0.0561,0.1448,0.2072,0.4504,0.968816897,,,,,,,,,,
Switzerland,Swiss,0.410773,0.009081061,5.64E-06,0.0001216,0.000834285,0.005468994,7.82E-05,0.000205567,0.1422,0.0517,0.1199,0.236,0.4033,0.97570216,,,,,,,,,,
Syria,Syrian,-0.362568,0.026030967,1.54E-05,0.00176356,0.004626274,0.003247819,0.006296721,6.91E-05,0.0779,0.0657,0.1282,0.3043,0.4241,0.98684909,,,,,,,,,,
Tajikistan,Tajik or Tadzhik,0.261533,0.004714465,1.31E-05,0.000155836,0.001001546,0.001144397,0.000226331,8.82E-05,0.1216,0.0558,0.1564,0.2429,0.4556,0.977235705,,,,,,,,,,
Tanzania,Tanzanian,0.156812,0.004933855,2.02E-05,0.000131622,0.00164233,0.001232272,0.000104689,0.000345907,0.1202,0.0568,0.1459,0.2215,0.4064,0.989074635,,,,,,,,,,
Thailand,Thai,0.355139,0.0187764,1.38E-05,0.000153254,0.001809697,0.007893083,0.002188174,0.000189166,0.1322,0.06,0.1323,0.26,0.4101,0.987264935,,,,,,,,,,
The Bahamas,Bahamian,0.274941,0.013112047,5.05E-05,0.00021425,0.004584602,0.003625603,0.000225896,0.000363643,0.1427,0.0556,0.1582,0.2387,0.3952,0.991131954,,,,,,,,,,
The Gambia,Gambian,-0.183036,0.013035451,1.74E-05,0.000158703,0.00379924,0.005036476,0.000237363,0.0001256,0.085,0.0497,0.1523,0.2909,0.4064,0.987106596,,,,,,,,,,
Togo,Togolese,0.23013,0.021299484,8.19E-05,0.000276895,0.00564474,0.01077397,0.000272556,0.000155385,0.1184,0.0572,0.1928,0.2213,0.4026,0.990175236,,,,,,,,,,
Tonga,Tongan,0.527783,0.007996801,1.20E-05,0.000143395,0.001816174,0.00281979,0.000160588,0.000145683,0.1542,0.0532,0.1771,0.2123,0.3736,0.984567102,,,,,,,,,,
Trinidad and Tobago,Trinidadian and Tobagonian,0.419163,0.017225504,0.000123429,0.003299519,0.007302345,0.003179703,0.000367591,0.000825099,0.1164,0.0608,0.2155,0.2249,0.4405,0.965753456,,,,,,,,,,
Tunisia,Tunisian,-0.418868,0.02902998,1.13E-05,0.000266808,0.011046313,0.007372827,0.000834338,0.000108358,0.0994,0.0479,0.1307,0.2605,0.3931,0.984924221,,,,,,,,,,
Turkiye,Turk or Turkish,0.071401,0.014414689,4.04E-05,0.000140862,0.004127152,0.004525131,0.000221399,0.000136502,0.1217,0.0456,0.1654,0.2552,0.391,0.975495238,,,,,,,,,,
Turkmenistan,Turkmen(s),0.06687,0.039641419,4.96E-05,0.000370441,0.007773403,0.022615091,0.002073444,0.000606191,0.1325,0.0636,0.1478,0.2655,0.4265,0.98890983,,,,,,,,,,
Tuvalu,Tuvaluan,0.255369,0.008386466,1.16E-05,0.000863081,0.001587537,0.002664612,0.00017289,9.32E-05,0.104,0.0467,0.2038,0.2198,0.4399,0.961508996,,,,,,,,,,
Uganda,Ugandan,-0.105618,0.014187341,2.26E-05,0.000182701,0.001810119,0.006862654,0.000234955,0.000494709,0.0953,0.0627,0.1416,0.26,0.4448,0.975250284,,,,,,,,,,
Ukraine,Ukrainian,-0.259303,0.020520635,3.06E-06,0.005862445,0.000669798,0.009879279,0.00019512,0.000122512,0.1111,0.0665,0.1027,0.2751,0.4495,0.956821122,,,,,,,,,,
United Arab Emirates,Emirian,0.100551,0.007811833,1.12E-05,8.89E-05,0.002794353,0.00135701,0.000217911,5.81E-05,0.1249,0.0432,0.1405,0.2632,0.4128,0.992465731,,,,,,,,,,
United Kingdom,"Briton or British (collective), Englishman/woman, Scot or Scotsman/woman, Irish (collective),Â Welshman/woman, Northern Irishman/woman or Northern Irish (collective)",0.591438,0.008188031,2.77E-05,0.000203137,0.00191724,0.004066671,7.13E-05,0.00021182,0.1025,0.0645,0.2477,0.1851,0.4,0.95455818,,,,,,,,,,
United States of America,American,0.147896,0.063355586,1.61E-05,0.008878655,0.005057268,0.044691311,0.000175066,0.001789664,0.0993,0.0499,0.1679,0.2611,0.4128,0.993278888,,,,,,,,,,
Uruguay,Uruguayan,0.191608,0.002662967,5.92E-06,8.09E-05,0.000345708,0.000902425,1.00E-04,7.39E-05,0.1462,0.0376,0.1483,0.2171,0.4177,0.967978656,,,,,,,,,,
Uzbekistan,Uzbek or Uzbekistani,0.236694,0.010547527,2.43E-05,0.000145215,0.00344878,0.00285863,0.00018642,0.000105974,0.1057,0.0467,0.1916,0.2385,0.4219,0.976836535,,,,,,,,,,
Vanuatu,Ni-Vanuatu,0.39693,0.005589871,4.60E-06,0.000101648,0.002115531,0.002001738,5.37E-05,5.30E-05,0.1532,0.0415,0.1347,0.217,0.4085,0.978923591,,,,,,,,,,
Venezuela,Venezuelan,-0.036587,0.011617526,2.92E-06,0.000526864,0.000289855,0.006239069,0.000316609,7.17E-05,0.1185,0.0655,0.1109,0.2827,0.4303,0.973013507,,,,,,,,,,
Vietnam,Vietnamese,0.193615,0.01953042,5.17E-06,0.000347193,0.00308099,0.009140537,0.000193745,9.12E-05,0.1416,0.0601,0.1167,0.2518,0.4494,0.96117918,,,,,,,,,,
Yemen,Yemeni or Yemenite,-0.358986,0.011820926,1.78E-05,0.000112619,0.002435125,0.004335332,0.000329136,8.29E-05,0.0833,0.0485,0.1374,0.2716,0.4618,0.990649905,,,,,,,,,,
Zambia,Zambian,0.206158,0.021242698,1.36E-05,0.000215437,0.002828634,0.011333758,0.00025787,0.000614445,0.1303,0.0461,0.1385,0.2227,0.4839,0.978376216,,,,,,,,,,
Zimbabwe,Zimbabwean,-0.060286,0.018802536,9.82E-06,0.000746108,0.002403111,0.011987598,0.000121431,0.000164473,0.1116,0.0508,0.1173,0.2365,,,,,,,,,,,,
